share,change,dollarAmount,insiderPortfolioChange,zeroDay,oneDay,sevenDay,fourteenDay,thirtyDay
236635,25000,578750.0,0.11812790889975666,325.0899963378906,1,0,0,1
125244,-373,-117618.09,-0.002969343321365739,308.6400146484375,0,0,0,0
125617,-300,-94215.0,-0.002382521819929001,308.6400146484375,0,0,0,0
125917,-1100,-344124.0,-0.008660258075690656,308.6400146484375,0,0,0,0
127017,-234,-72797.40000000001,-0.0018388853525709032,308.6400146484375,0,0,0,0
127251,-2344,-726546.24,-0.018087117558547784,308.6400146484375,0,0,0,0
129595,-1610,-498085.7,-0.012270873823406121,308.6400146484375,0,0,0,0
131205,-2156,-664392.9600000001,-0.016166645421075126,308.6400146484375,0,0,0,0
133361,-3468,-1064884.08,-0.025345504242521688,308.6400146484375,0,0,0,0
136829,-1103,-337815.81,-0.007996694023141838,308.6400146484375,0,0,0,0
137932,13000,300950.0,0.104056606794096,308.6400146484375,0,0,0,0
8444,-936,-308646.0,-0.0997867803837953,333.80999755859375,0,0,0,0
176510,-3750,-1177537.5,-0.02080328414512371,316.29998779296875,1,1,0,1
180260,-3750,-1240012.5,-0.02037932721047769,322.7799987792969,0,0,0,0
2869,-201,-70967.06999999999,-0.06547231270358306,341.8599853515625,1,0,0,0
3070,-1304,-458968.88000000006,-0.2981252857796068,341.8599853515625,1,0,0,0
4374,-1649,-579359.6599999999,-0.27378382865681555,341.8599853515625,1,0,0,0
6023,-1846,-638051.44,-0.23459143474393188,341.8599853515625,1,0,0,0
31930,-5000,-1830000.0,-0.13539128080151638,355.1300048828125,0,0,0,0
36930,5000,331250.0,0.15659254619480112,355.1300048828125,0,0,0,0
23801,-4,-1480.36,-0.00016803192606595254,368.45001220703125,1,0,0,1
20552,-27,-9992.429999999998,-0.0013120171048155887,368.45001220703125,1,0,0,1
22662,-18,-6661.62,-0.0007936507936507937,368.45001220703125,1,0,0,1
175241,-19,-7031.709999999999,-0.00010841036174825973,368.45001220703125,1,0,0,1
16845,-14,-5181.259999999999,-0.0008304169879589536,368.45001220703125,1,0,0,1
3516,-5,-1850.4499999999998,-0.0014200511218403862,368.45001220703125,1,0,0,1
50247,-27,-9992.429999999998,-0.0005370569280343716,368.45001220703125,1,0,0,1
11925,-4,-1480.36,-0.0003353172939894375,368.45001220703125,1,0,0,1
23775,56,20694.100000000002,0.0023609764323959696,368.4599914550781,0,1,0,1
20491,95,35106.0625,0.004657776034516572,368.4599914550781,0,1,0,1
22625,66,24389.475000000002,0.0029256615984751097,368.4599914550781,0,1,0,1
16820,66,24389.475000000002,0.003939357765309777,368.4599914550781,0,1,0,1
3503,66,24389.475000000002,0.019202793133546697,368.4599914550781,0,1,0,1
11888,58,21433.175000000003,0.004902789518174133,368.4599914550781,0,1,0,1
20396,-252,-90514.4184,-0.012204571871367687,355.32000732421875,1,1,1,1
20648,-97,-34681.380000000005,-0.004675825500120511,355.32000732421875,1,1,1,1
20745,-417,-148798.11,-0.01970513184009073,355.32000732421875,1,1,1,1
21162,-454,-161499.3316,-0.02100296076980015,355.32000732421875,1,1,1,1
21616,-559,-198149.23309999998,-0.02520856820744081,355.32000732421875,1,1,1,1
22175,-2882,-1019353.0247999999,-0.11501775950832102,355.32000732421875,1,1,1,1
